abb,rival,is_local,base_puntos,base_x3pt,base_rebotes,base_asistencias,base_valoracion,alero_puntos,alero_x3pt,alero_rebotes,alero_asistencias,alero_valoracion,pivot_puntos,pivot_x3pt,pivot_rebotes,pivot_asistencias,pivot_valoracion,base_puntos_encontra,base_x3pt_encontra,base_rebotes_encontra,base_asistencias_encontra,base_valoracion_encontra,alero_puntos_encontra,alero_x3pt_encontra,alero_rebotes_encontra,alero_asistencias_encontra,alero_valoracion_encontra,pivot_puntos_encontra,pivot_x3pt_encontra,pivot_rebotes_encontra,pivot_asistencias_encontra,pivot_valoracion_encontra,id_match,matchweek_number,equipo.x,logo.x,color,url.x,logo_cuadrado,equipo.y,logo.y,color_rival,url.y,logo_rival
BKN,Todos,Todas,7,0,2,3,11,9,1,2,1,7,7,0,3,1,7,12,1,2,5,13,7,1,2,2,7,9,0,4,1,10,NA,Jor. NA,Baskonia,https://static.acb.com/logos/1718/baskonia_00.png,#C8102E,https://www.acb.com/club/plantilla/id/3,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,NA,NA,NA,NA,NA
BKN,Todos,Todas Local,10,0,3,3,16,10,1,1,1,7,7,0,2,0,6,9,1,2,5,11,8,1,2,1,6,8,1,3,0,11,NA,Jor. NA,Baskonia,https://static.acb.com/logos/1718/baskonia_00.png,#C8102E,https://www.acb.com/club/plantilla/id/3,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,NA,NA,NA,NA,NA
BKN,Todos,Todas  Visitante,5,0,1,3,6,9,1,4,1,8,7,0,4,1,8,16,2,1,4,14,6,1,3,2,7,9,0,5,1,10,NA,Jor. NA,Baskonia,https://static.acb.com/logos/1718/baskonia_00.png,#C8102E,https://www.acb.com/club/plantilla/id/3,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,NA,NA,NA,NA,NA
BKN,CAZ,Visitante,4.7,0,1.3,2.7,6.3,9.2,0.6,3.8,0.6,7.6,7,0.2,4,1,7.8,15.5,1.5,1,4.5,14.5,5.6,0.7,2.6,1.6,7.3,9.2,0,5.2,1,10,104465,Jor. 1,Baskonia,https://static.acb.com/logos/1718/baskonia_00.png,#C8102E,https://www.acb.com/club/plantilla/id/3,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,Casademont Zaragoza,https://static.acb.com/img/www/clubes2024/2425CasademontZaragoza.png,#C8102E,https://www.acb.com/club/plantilla/id/16,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/CAZ.png
BKN,RMB,Local,9.8,0.5,3.2,3.2,15.8,9.5,1.2,1.2,1.2,7,7,0.5,1.5,0.2,6.2,9,1,2,5,11,8.4,0.8,1.6,1.4,6,8,0.8,3.2,0.4,10.6,104476,Jor. 2,Baskonia,https://static.acb.com/logos/1718/baskonia_00.png,#C8102E,https://www.acb.com/club/plantilla/id/3,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,Real Madrid,https://static.acb.com/img/www/clubes2024/2324RealMadrid_Logoweb.png,#FFFFFF,https://www.acb.com/club/plantilla/id/9,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/RMB.png
BRE,Todos,Todas,4,0,2,3,5,11,2,2,0,7,4,0,3,1,5,8,1,4,5,12,8,1,3,2,8,10,1,5,1,13,NA,Jor. NA,Río Breogán,https://static.acb.com/logos/1718/breogan_00.png,#85ADEA,https://www.acb.com/club/plantilla/id/25,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,NA,NA,NA,NA,NA
BRE,Todos,Todas Local,6,0,2,3,7,13,3,2,0,9,4,1,3,1,5,8,1,3,5,12,8,2,2,2,8,12,2,4,1,14,NA,Jor. NA,Río Breogán,https://static.acb.com/logos/1718/breogan_00.png,#85ADEA,https://www.acb.com/club/plantilla/id/25,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,NA,NA,NA,NA,NA
BRE,Todos,Todas  Visitante,2,0,1,3,3,10,2,2,0,5,5,0,3,2,5,7,1,5,5,12,8,1,4,3,9,8,0,6,0,12,NA,Jor. NA,Río Breogán,https://static.acb.com/logos/1718/breogan_00.png,#85ADEA,https://www.acb.com/club/plantilla/id/25,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,NA,NA,NA,NA,NA
BRE,HIO,Visitante,2.3,0,1,2.7,3.3,9.5,1.8,2,0.2,5.2,4.6,0.2,3.4,1.6,5,7,1,5,5,12,7.9,1,3.6,3,8.7,8.3,0,5.7,0.3,12.3,104462,Jor. 1,Río Breogán,https://static.acb.com/logos/1718/breogan_00.png,#85ADEA,https://www.acb.com/club/plantilla/id/25,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,Hiopos Lleida,https://static.acb.com/img/www/clubes2024/2425HioposLleida_positivo.png,#AB1254,https://www.acb.com/club/plantilla/id/658,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png
BRE,VBC,Local,5.7,0.3,2,3.3,6.7,12.8,2.8,1.5,0.5,8.8,4.4,0.6,3.4,1,4.8,8,1,2.7,4.7,12,8.2,1.8,2.4,1.8,7.6,12,1.8,4.5,1.2,14.2,104474,Jor. 2,Río Breogán,https://static.acb.com/logos/1718/breogan_00.png,#85ADEA,https://www.acb.com/club/plantilla/id/25,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,Valencia Basket,https://static.acb.com/img/23/2/25/1654748673.png,#FC6C0F,https://www.acb.com/club/plantilla/id/13,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/VBC.png
