abb,rival,is_local,base_puntos,base_x3pt,base_rebotes,base_asistencias,base_valoracion,alero_puntos,alero_x3pt,alero_rebotes,alero_asistencias,alero_valoracion,pivot_puntos,pivot_x3pt,pivot_rebotes,pivot_asistencias,pivot_valoracion,base_puntos_encontra,base_x3pt_encontra,base_rebotes_encontra,base_asistencias_encontra,base_valoracion_encontra,alero_puntos_encontra,alero_x3pt_encontra,alero_rebotes_encontra,alero_asistencias_encontra,alero_valoracion_encontra,pivot_puntos_encontra,pivot_x3pt_encontra,pivot_rebotes_encontra,pivot_asistencias_encontra,pivot_valoracion_encontra,id_match,matchweek_number,equipo.x,logo.x,color,url.x,logo_cuadrado,equipo.y,logo.y,color_rival,url.y,logo_rival
GIR,BUR,Visitante,5.2,0.8,1.8,4,3.2,9.8,0.5,3,1.2,9,4.8,0,3,0.5,5.2,6.7,1,2.7,1.7,9.7,11,1,4.2,1.4,11.4,5.5,0,3,0.8,5.8,104460,Jor. 1,Bàsquet Girona,https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logonegativo2223.png,#B32836,https://www.acb.com/club/plantilla/id/591,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/GIR.png,Recoletas Salud San Pablo Burgos,https://static.acb.com/img/www/clubes2025/2526SanPabloLogo.png,#00669E,https://www.acb.com/club/plantilla/id/549,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BUR.svg
GIR,UCM,Local,3.8,0.2,1,2.5,2,10.2,1.5,3.8,0.5,9.2,3.8,0.2,4.2,1,4.2,13.5,2,3,2,11,7.6,1,3.6,0.8,8.4,5.6,0.4,2.8,0.2,6.8,104468,Jor. 2,Bàsquet Girona,https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logonegativo2223.png,#B32836,https://www.acb.com/club/plantilla/id/591,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/GIR.png,UCAM Murcia,https://static.acb.com/img/www/clubes2024/2425UCAMMurciapositivo.png,#A51A14,https://www.acb.com/club/plantilla/id/12,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UCM.png
HIO,Todos,Todas,8,2,2,4,12,9,1,4,2,9,6,0,3,1,9,4,1,1,2,4,8,1,2,1,6,6,0,3,1,6,NA,Jor. NA,Hiopos Lleida,https://static.acb.com/img/www/clubes2024/2425HioposLleida_positivo.png,#AB1254,https://www.acb.com/club/plantilla/id/658,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png,NA,NA,NA,NA,NA
HIO,Todos,Todas Local,7,1,5,5,12,8,1,4,3,9,8,0,6,0,12,2,0,1,3,3,10,2,2,0,5,5,0,3,2,5,NA,Jor. NA,Hiopos Lleida,https://static.acb.com/img/www/clubes2024/2425HioposLleida_positivo.png,#AB1254,https://www.acb.com/club/plantilla/id/658,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png,NA,NA,NA,NA,NA
HIO,Todos,Todas  Visitante,10,2,0,3,11,9,1,4,1,9,4,0,1,1,6,6,2,2,2,6,7,1,3,1,7,8,0,3,1,8,NA,Jor. NA,Hiopos Lleida,https://static.acb.com/img/www/clubes2024/2425HioposLleida_positivo.png,#AB1254,https://www.acb.com/club/plantilla/id/658,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png,NA,NA,NA,NA,NA
HIO,BRE,Local,7,1,5,5,12,7.9,1,3.6,3,8.7,8.3,0,5.7,0.3,12.3,2.3,0,1,2.7,3.3,9.5,1.8,2,0.2,5.2,4.6,0.2,3.4,1.6,5,104462,Jor. 1,Hiopos Lleida,https://static.acb.com/img/www/clubes2024/2425HioposLleida_positivo.png,#AB1254,https://www.acb.com/club/plantilla/id/658,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png,Río Breogán,https://static.acb.com/logos/1718/breogan_00.png,#85ADEA,https://www.acb.com/club/plantilla/id/25,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png
HIO,BAR,Visitante,10,2,0,3,11,9.3,1,4.3,1.1,8.7,4,0,1.2,1,6,5.5,1.5,1.5,2,5.5,7.2,0.8,2.7,1.3,7.3,8,0,3.2,1,8,104473,Jor. 2,Hiopos Lleida,https://static.acb.com/img/www/clubes2024/2425HioposLleida_positivo.png,#AB1254,https://www.acb.com/club/plantilla/id/658,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png,Barça,https://static.acb.com/img/www/clubes2024/2324BarcaLogoweb.png,#154284,https://www.acb.com/club/plantilla/id/2,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png
JOV,Todos,Todas,9,1,1,3,9,6,0,2,1,6,9,0,6,1,11,10,0,1,3,7,6,1,2,1,5,6,0,4,1,7,NA,Jor. NA,Joventut Badalona,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,https://www.acb.com/club/plantilla/id/8,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/JOV.png,NA,NA,NA,NA,NA
JOV,Todos,Todas Local,10,1,1,3,7,7,1,2,1,8,7,0,6,1,10,10,0,1,4,12,6,1,3,1,8,6,0,4,1,5,NA,Jor. NA,Joventut Badalona,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,https://www.acb.com/club/plantilla/id/8,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/JOV.png,NA,NA,NA,NA,NA
JOV,Todos,Todas  Visitante,8,1,1,3,11,5,0,2,1,5,11,0,6,1,13,9,0,0,1,2,5,1,1,2,3,6,0,5,0,9,NA,Jor. NA,Joventut Badalona,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,https://www.acb.com/club/plantilla/id/8,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/JOV.png,NA,NA,NA,NA,NA
JOV,COV,Visitante,7.7,0.7,1.3,2.7,11,5.2,0.2,1.8,1.2,4.8,10.8,0.2,6.2,1.2,12.8,9,0,0.5,1,2.5,5,0.8,1.4,1.8,2.6,6.4,0,4.6,0.2,9.4,104463,Jor. 1,Joventut Badalona,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,https://www.acb.com/club/plantilla/id/8,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/JOV.png,Coviran Granada,https://static.acb.com/img/www/clubes2024/2425CoviranGranadapositivo.png,#C2213C,https://www.acb.com/club/plantilla/id/592,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png
JOV,CAZ,Local,10.3,1.3,0.7,3,7,7.2,0.8,2.2,1.2,7.5,7.2,0,5.8,1,10,10,0.5,1,4.5,11.5,6.1,1,3,0.9,7.9,5.8,0.2,3.5,1,4.8,104472,Jor. 2,Joventut Badalona,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,https://www.acb.com/club/plantilla/id/8,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/JOV.png,Casademont Zaragoza,https://static.acb.com/img/www/clubes2024/2425CasademontZaragoza.png,#C8102E,https://www.acb.com/club/plantilla/id/16,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/CAZ.png
LLT,Todos,Todas,9,2,2,3,9,9,1,2,2,11,10,1,3,1,13,6,0,2,3,6,6,1,2,1,4,7,0,3,1,7,NA,Jor. NA,La Laguna Tenerife,https://static.acb.com/img/www/clubes2024/2425LaLagunaTenerifeLogo.png,#E9CD5F,https://www.acb.com/club/plantilla/id/28,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/LLT.png,NA,NA,NA,NA,NA
LLT,Todos,Todas Local,10,2,2,2,9,8,1,2,2,11,10,1,4,2,12,7,0,3,5,8,8,1,2,1,7,8,1,2,1,7,NA,Jor. NA,La Laguna Tenerife,https://static.acb.com/img/www/clubes2024/2425LaLagunaTenerifeLogo.png,#E9CD5F,https://www.acb.com/club/plantilla/id/28,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/LLT.png,NA,NA,NA,NA,NA
LLT,Todos,Todas  Visitante,8,2,2,4,10,9,1,2,2,10,10,1,3,1,13,5,1,1,2,3,5,1,2,1,1,6,0,5,0,6,NA,Jor. NA,La Laguna Tenerife,https://static.acb.com/img/www/clubes2024/2425LaLagunaTenerifeLogo.png,#E9CD5F,https://www.acb.com/club/plantilla/id/28,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/LLT.png,NA,NA,NA,NA,NA
LLT,BAX,Local,10.3,1.7,2,1.7,9.3,8.5,1,2.2,1.5,10.8,9.5,0.7,3.7,1.7,12.2,7.3,0,2.7,4.7,8.3,8,1,2.5,0.8,7.2,7.8,0.6,1.6,1.2,6.8,104461,Jor. 1,La Laguna Tenerife,https://static.acb.com/img/www/clubes2024/2425LaLagunaTenerifeLogo.png,#E9CD5F,https://www.acb.com/club/plantilla/id/28,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/LLT.png,BAXI Manresa,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,https://www.acb.com/club/plantilla/id/10,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png
LLT,MBA,Visitante,7.5,2,1.5,4,9.5,8.6,1.2,2,2.2,10.4,9.5,0.8,3.2,0.8,13.3,5,0.7,0.7,2,2.7,4.8,1.2,2.5,0.8,1.2,6,0.2,5,0,6.4,104469,Jor. 2,La Laguna Tenerife,https://static.acb.com/img/www/clubes2024/2425LaLagunaTenerifeLogo.png,#E9CD5F,https://www.acb.com/club/plantilla/id/28,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/LLT.png,MoraBanc Andorra,https://static.acb.com/img/43/43/28/75593.png,#0165BA,https://www.acb.com/club/plantilla/id/22,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/MBA.png
MBA,Todos,Todas,4,0,1,2,3,6,1,2,1,5,6,0,4,0,5,8,2,2,5,9,10,1,3,2,11,7,1,3,1,10,NA,Jor. NA,MoraBanc Andorra,https://static.acb.com/img/43/43/28/75593.png,#0165BA,https://www.acb.com/club/plantilla/id/22,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/MBA.png,NA,NA,NA,NA,NA
MBA,Todos,Todas Local,5,1,1,2,3,5,1,2,1,1,6,0,5,0,6,8,2,2,4,10,9,1,2,2,10,10,1,3,1,13,NA,Jor. NA,MoraBanc Andorra,https://static.acb.com/img/43/43/28/75593.png,#0165BA,https://www.acb.com/club/plantilla/id/22,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/MBA.png,NA,NA,NA,NA,NA
MBA,Todos,Todas  Visitante,4,0,2,3,4,8,2,2,1,8,5,0,2,0,4,8,2,3,6,8,10,1,4,2,12,5,0,3,1,7,NA,Jor. NA,MoraBanc Andorra,https://static.acb.com/img/43/43/28/75593.png,#0165BA,https://www.acb.com/club/plantilla/id/22,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/MBA.png,NA,NA,NA,NA,NA
MBA,UCM,Visitante,3.5,0,1.5,3,4,8,1.7,2,0.7,8.3,5.2,0,2.2,0.4,3.6,8.5,2.5,3,5.5,8.5,10.4,1.4,3.6,2.4,12.2,5.2,0.4,3,1.4,7.4,104466,Jor. 1,MoraBanc Andorra,https://static.acb.com/img/43/43/28/75593.png,#0165BA,https://www.acb.com/club/plantilla/id/22,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/MBA.png,UCAM Murcia,https://static.acb.com/img/www/clubes2024/2425UCAMMurciapositivo.png,#A51A14,https://www.acb.com/club/plantilla/id/12,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UCM.png
MBA,LLT,Local,5,0.7,0.7,2,2.7,4.8,1.2,2.5,0.8,1.2,6,0.2,5,0,6.4,7.5,2,1.5,4,9.5,8.6,1.2,2,2.2,10.4,9.5,0.8,3.2,0.8,13.3,104469,Jor. 2,MoraBanc Andorra,https://static.acb.com/img/43/43/28/75593.png,#0165BA,https://www.acb.com/club/plantilla/id/22,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/MBA.png,La Laguna Tenerife,https://static.acb.com/img/www/clubes2024/2425LaLagunaTenerifeLogo.png,#E9CD5F,https://www.acb.com/club/plantilla/id/28,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/LLT.png
RMB,Todos,Todas,8,1,2,5,9,8,1,2,1,7,7,1,3,1,9,10,1,2,3,13,7,1,2,2,6,7,1,2,0,7,NA,Jor. NA,Real Madrid,https://static.acb.com/img/www/clubes2024/2324RealMadrid_Logoweb.png,#FFFFFF,https://www.acb.com/club/plantilla/id/9,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/RMB.png,NA,NA,NA,NA,NA
RMB,Todos,Todas Local,6,1,2,5,7,8,2,2,1,7,6,1,3,1,7,10,2,2,2,10,4,0,4,3,5,7,1,2,0,7,NA,Jor. NA,Real Madrid,https://static.acb.com/img/www/clubes2024/2324RealMadrid_Logoweb.png,#FFFFFF,https://www.acb.com/club/plantilla/id/9,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/RMB.png,NA,NA,NA,NA,NA
RMB,Todos,Todas  Visitante,9,1,2,5,11,8,1,2,1,6,8,1,3,0,11,10,0,3,3,16,10,1,1,1,7,7,0,2,0,6,NA,Jor. NA,Real Madrid,https://static.acb.com/img/www/clubes2024/2324RealMadrid_Logoweb.png,#FFFFFF,https://www.acb.com/club/plantilla/id/9,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/RMB.png,NA,NA,NA,NA,NA
RMB,DGC,Local,6.5,1,1.5,5,7,7.8,1.6,2.2,1.4,7.2,5.8,0.8,2.6,1,7,9.5,2,1.5,2.5,9.5,4.5,0.2,3.5,2.8,5.2,6.8,0.8,2.4,0,7.2,104464,Jor. 1,Real Madrid,https://static.acb.com/img/www/clubes2024/2324RealMadrid_Logoweb.png,#FFFFFF,https://www.acb.com/club/plantilla/id/9,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/RMB.png,Dreamland Gran Canaria,https://static.acb.com/img/2/58/5b/75611.png,#FFB718,https://www.acb.com/club/plantilla/id/5,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png
RMB,BKN,Visitante,9,1,2,5,11,8.4,0.8,1.6,1.4,6,8,0.8,3.2,0.4,10.6,9.8,0.5,3.2,3.2,15.8,9.5,1.2,1.2,1.2,7,7,0.5,1.5,0.2,6.2,104476,Jor. 2,Real Madrid,https://static.acb.com/img/www/clubes2024/2324RealMadrid_Logoweb.png,#FFFFFF,https://www.acb.com/club/plantilla/id/9,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/RMB.png,Baskonia,https://static.acb.com/logos/1718/baskonia_00.png,#C8102E,https://www.acb.com/club/plantilla/id/3,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png
SBB,Todos,Todas,8,0,3,2,9,6,0,2,2,5,9,1,4,1,9,4,1,1,2,4,8,1,2,2,7,7,0,4,1,9,NA,Jor. NA,Surne Bilbao Basket,https://static.acb.com/img/www/clubes2022/logo_surnebb_pos.png,#000000,https://www.acb.com/club/plantilla/id/4,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/SBB.png,NA,NA,NA,NA,NA
SBB,Todos,Todas Local,12,1,3,2,14,6,0,3,3,6,10,1,5,0,9,3,0,1,1,2,9,1,3,2,7,6,0,3,1,7,NA,Jor. NA,Surne Bilbao Basket,https://static.acb.com/img/www/clubes2022/logo_surnebb_pos.png,#000000,https://www.acb.com/club/plantilla/id/4,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/SBB.png,NA,NA,NA,NA,NA
SBB,Todos,Todas  Visitante,4,0,4,2,4,6,1,2,1,3,8,1,3,1,10,5,1,1,3,6,8,1,2,2,6,8,0,5,2,10,NA,Jor. NA,Surne Bilbao Basket,https://static.acb.com/img/www/clubes2022/logo_surnebb_pos.png,#000000,https://www.acb.com/club/plantilla/id/4,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/SBB.png,NA,NA,NA,NA,NA
SBB,UNI,Visitante,4.5,0,3.5,2,4,5.6,0.6,2,0.8,3.4,7.8,0.8,2.8,1.2,9.8,5,0.7,0.7,3,6,7.5,0.8,2,2,6.5,8.2,0.4,5,1.8,10.4,104459,Jor. 1,Surne Bilbao Basket,https://static.acb.com/img/www/clubes2022/logo_surnebb_pos.png,#000000,https://www.acb.com/club/plantilla/id/4,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/SBB.png,Unicaja,https://static.acb.com/img/www/clubes2024/2324UnicajaLogo.png,#3D9C35,https://www.acb.com/club/plantilla/id/14,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UNI.png
SBB,BUR,Local,12,1,3,2.5,14.5,6.4,0.2,2.6,2.6,5.8,9.8,0.8,4.8,0,9,3,0.5,1,1,1.5,9,0.8,3,2,7.2,6.2,0,3.2,1,6.8,104475,Jor. 2,Surne Bilbao Basket,https://static.acb.com/img/www/clubes2022/logo_surnebb_pos.png,#000000,https://www.acb.com/club/plantilla/id/4,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/SBB.png,Recoletas Salud San Pablo Burgos,https://static.acb.com/img/www/clubes2025/2526SanPabloLogo.png,#00669E,https://www.acb.com/club/plantilla/id/549,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BUR.svg
UCM,Todos,Todas,11,2,3,4,10,9,1,4,2,10,5,0,3,1,7,4,0,1,3,3,9,2,3,1,9,4,0,3,1,4,NA,Jor. NA,UCAM Murcia,https://static.acb.com/img/www/clubes2024/2425UCAMMurciapositivo.png,#A51A14,https://www.acb.com/club/plantilla/id/12,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UCM.png,NA,NA,NA,NA,NA
UCM,Todos,Todas Local,8,2,3,6,8,10,1,4,2,12,5,0,3,1,7,4,0,2,3,4,8,2,2,1,8,5,0,2,0,4,NA,Jor. NA,UCAM Murcia,https://static.acb.com/img/www/clubes2024/2425UCAMMurciapositivo.png,#A51A14,https://www.acb.com/club/plantilla/id/12,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UCM.png,NA,NA,NA,NA,NA
UCM,Todos,Todas  Visitante,14,2,3,2,11,8,1,4,1,8,6,0,3,0,7,4,0,1,2,2,10,2,4,0,9,4,0,4,1,4,NA,Jor. NA,UCAM Murcia,https://static.acb.com/img/www/clubes2024/2425UCAMMurciapositivo.png,#A51A14,https://www.acb.com/club/plantilla/id/12,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UCM.png,NA,NA,NA,NA,NA
UCM,MBA,Local,8.5,2.5,3,5.5,8.5,10.4,1.4,3.6,2.4,12.2,5.2,0.4,3,1.4,7.4,3.5,0,1.5,3,4,8,1.7,2,0.7,8.3,5.2,0,2.2,0.4,3.6,104466,Jor. 1,UCAM Murcia,https://static.acb.com/img/www/clubes2024/2425UCAMMurciapositivo.png,#A51A14,https://www.acb.com/club/plantilla/id/12,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UCM.png,MoraBanc Andorra,https://static.acb.com/img/43/43/28/75593.png,#0165BA,https://www.acb.com/club/plantilla/id/22,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/MBA.png
UCM,GIR,Visitante,13.5,2,3,2,11,7.6,1,3.6,0.8,8.4,5.6,0.4,2.8,0.2,6.8,3.8,0.2,1,2.5,2,10.2,1.5,3.8,0.5,9.2,3.8,0.2,4.2,1,4.2,104468,Jor. 2,UCAM Murcia,https://static.acb.com/img/www/clubes2024/2425UCAMMurciapositivo.png,#A51A14,https://www.acb.com/club/plantilla/id/12,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UCM.png,Bàsquet Girona,https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logonegativo2223.png,#B32836,https://www.acb.com/club/plantilla/id/591,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/GIR.png
UNI,Todos,Todas,5,1,1,2,6,6,1,2,2,5,8,1,4,1,10,4,0,3,3,6,6,1,2,1,4,7,1,3,1,9,NA,Jor. NA,Unicaja,https://static.acb.com/img/www/clubes2024/2324UnicajaLogo.png,#3D9C35,https://www.acb.com/club/plantilla/id/14,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UNI.png,NA,NA,NA,NA,NA
UNI,Todos,Todas Local,5,1,1,3,6,8,1,2,2,6,8,0,5,2,10,4,0,4,2,4,6,1,2,1,3,8,1,3,1,10,NA,Jor. NA,Unicaja,https://static.acb.com/img/www/clubes2024/2324UnicajaLogo.png,#3D9C35,https://www.acb.com/club/plantilla/id/14,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UNI.png,NA,NA,NA,NA,NA
UNI,Todos,Todas  Visitante,6,1,2,2,6,5,0,1,2,3,8,1,3,1,10,4,1,2,4,8,7,0,2,2,6,7,1,4,1,7,NA,Jor. NA,Unicaja,https://static.acb.com/img/www/clubes2024/2324UnicajaLogo.png,#3D9C35,https://www.acb.com/club/plantilla/id/14,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UNI.png,NA,NA,NA,NA,NA
UNI,SBB,Local,5,0.7,0.7,3,6,7.5,0.8,2,2,6.5,8.2,0.4,5,1.8,10.4,4.5,0,3.5,2,4,5.6,0.6,2,0.8,3.4,7.8,0.8,2.8,1.2,9.8,104459,Jor. 1,Unicaja,https://static.acb.com/img/www/clubes2024/2324UnicajaLogo.png,#3D9C35,https://www.acb.com/club/plantilla/id/14,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UNI.png,Surne Bilbao Basket,https://static.acb.com/img/www/clubes2022/logo_surnebb_pos.png,#000000,https://www.acb.com/club/plantilla/id/4,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/SBB.png
UNI,DGC,Visitante,5.7,0.7,2,2,6.3,5,0.3,1,1.7,3,8.2,1,3.3,1,10.2,4.5,1,2.5,4.5,8,7.2,0.5,2.5,1.8,5.5,6.8,1.2,3.6,0.6,7.4,104470,Jor. 2,Unicaja,https://static.acb.com/img/www/clubes2024/2324UnicajaLogo.png,#3D9C35,https://www.acb.com/club/plantilla/id/14,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UNI.png,Dreamland Gran Canaria,https://static.acb.com/img/2/58/5b/75611.png,#FFB718,https://www.acb.com/club/plantilla/id/5,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png
VBC,Todos,Todas,7,1,2,4,11,8,1,2,2,7,11,1,4,1,14,5,0,2,3,5,11,2,2,1,8,5,0,3,1,6,NA,Jor. NA,Valencia Basket,https://static.acb.com/img/23/2/25/1654748673.png,#FC6C0F,https://www.acb.com/club/plantilla/id/13,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/VBC.png,NA,NA,NA,NA,NA
VBC,Todos,Todas Local,6,1,2,3,10,7,1,2,2,6,10,1,4,1,14,4,0,2,3,2,8,1,3,1,7,6,0,3,1,8,NA,Jor. NA,Valencia Basket,https://static.acb.com/img/23/2/25/1654748673.png,#FC6C0F,https://www.acb.com/club/plantilla/id/13,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/VBC.png,NA,NA,NA,NA,NA
VBC,Todos,Todas  Visitante,8,1,3,5,12,8,2,2,2,8,12,2,4,1,14,6,0,2,3,7,13,3,2,0,9,4,1,3,1,5,NA,Jor. NA,Valencia Basket,https://static.acb.com/img/23/2/25/1654748673.png,#FC6C0F,https://www.acb.com/club/plantilla/id/13,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/VBC.png,NA,NA,NA,NA,NA
