abb,rival,is_local,base_puntos,base_rebotes,base_asistencias,base_valoracion,base_puntos_encontra,base_rebotes_encontra,base_asistencias_encontra,base_valoracion_encontra,alero_puntos,alero_rebotes,alero_asistencias,alero_valoracion,alero_puntos_encontra,alero_rebotes_encontra,alero_asistencias_encontra,alero_valoracion_encontra,pivot_puntos,pivot_rebotes,pivot_asistencias,pivot_valoracion,pivot_puntos_encontra,pivot_rebotes_encontra,pivot_asistencias_encontra,pivot_valoracion_encontra
SBB,BKN,Local,15,7,8,25,14,6,7,9,18,7,7,9,20,9,6,14,34,18,0,37,35,20,5,53
SBB,HIO,Visitante,16,4,3,9,11,8,13,22,24,3,6,10,49,14,8,54,26,24,2,43,24,6,2,12
UCM,Todos,Todas,13,3,5,11,20,6,6,21,37,12,9,38,34,13,4,30,29,15,3,32,28,15,3,36
UCM,Todos Local,Todas Local,10,3,5,7,22,6,5,24,38,14,10,40,34,13,4,28,30,15,2,32,24,17,3,31
UCM,Todos Visitante,Todas Visitante,17,4,5,15,19,5,7,17,37,9,8,35,34,14,4,31,28,15,3,32,31,13,3,41
UCM,JOV,Visitante,10,5,3,5,18,6,6,19,41,5,7,37,41,14,5,46,25,13,5,32,32,13,7,41
UCM,SBB,Local,8,1,4,3,23,8,4,32,56,27,8,54,27,7,7,20,25,17,4,21,33,20,5,37
UCM,BKN,Visitante,24,2,7,18,18,5,6,20,24,11,9,27,32,17,7,37,44,19,4,47,45,11,3,53
UCM,CAZ,Local,16,4,7,18,26,7,1,25,50,18,8,63,27,8,1,13,22,13,3,17,21,17,2,22
UCM,GIR,Visitante,23,4,5,31,31,5,7,18,31,6,8,16,26,11,3,21,28,20,1,32,18,11,0,24
UCM,RMB,Local,6,0,5,-1,13,4,2,15,32,10,9,25,53,20,4,47,26,12,1,25,19,16,3,40
UCM,MBA,Visitante,10,4,5,10,13,2,5,7,56,12,11,62,42,10,3,22,17,12,3,17,16,16,2,36
UCM,BRE,Local,11,7,6,16,18,3,5,18,36,10,17,46,25,22,4,15,32,21,1,35,20,15,2,25
UCM,DGC,Local,6,0,1,2,9,7,6,9,27,7,8,22,45,14,4,55,30,15,3,40,29,16,4,22
UCM,BAR,Visitante,19,3,5,11,13,8,10,20,34,13,6,31,27,17,3,29,26,13,3,31,46,14,4,52
UCM,VBC,Local,15,7,5,6,43,8,11,45,24,9,9,32,28,8,3,20,47,13,3,51,25,18,4,41
UNI,Todos,Todas,26,3,10,30,17,6,9,21,30,11,6,30,37,11,5,34,33,16,4,36,28,13,4,31
UNI,Todos Local,Todas Local,29,4,11,36,20,4,7,22,35,10,6,34,28,10,5,25,30,16,4,35,30,12,4,28
UNI,Todos Visitante,Todas Visitante,23,2,9,25,14,7,10,20,26,11,7,26,44,12,5,40,35,17,4,37,27,13,4,34
