abb,rival,is_local,jornada,base_puntos,base_x3pt,base_rebotes,base_asistencias,base_valoracion,alero_puntos,alero_x3pt,alero_rebotes,alero_asistencias,alero_valoracion,pivot_puntos,pivot_x3pt,pivot_rebotes,pivot_asistencias,pivot_valoracion,base_puntos_encontra,base_x3pt_encontra,base_rebotes_encontra,base_asistencias_encontra,base_valoracion_encontra,alero_puntos_encontra,alero_x3pt_encontra,alero_rebotes_encontra,alero_asistencias_encontra,alero_valoracion_encontra,pivot_puntos_encontra,pivot_x3pt_encontra,pivot_rebotes_encontra,pivot_asistencias_encontra,pivot_valoracion_encontra,id_match,equipo.x,logo.x,color,url.x,logo_cuadrado,equipo.y,logo.y,color_rival,logo_rival
GIR,UCM,Local,Jor. 2,15,1,4,10,8,41,6,15,2,37,15,1,17,4,17,27,4,6,4,22,38,5,18,4,42,28,2,14,1,34,104468,Bàsquet Girona,https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logonegativo2223.png,#B32836,https://www.acb.com/club/plantilla/id/591,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/GIR.png,UCAM Murcia,https://static.acb.com/img/www/clubes2024/2425UCAMMurciapositivo.png,#A51A14,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UCM.png
GIR,MBA,Visitante,Jor. 3,45,7,8,16,35,35,4,18,8,39,33,1,17,4,38,31,3,4,9,32,42,12,14,13,43,42,4,22,3,54,104480,Bàsquet Girona,https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logonegativo2223.png,#B32836,https://www.acb.com/club/plantilla/id/591,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/GIR.png,MoraBanc Andorra,https://static.acb.com/img/43/43/28/75593.png,#0165BA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/MBA.png
HIO,Todos,Todas,Jor. NA,7,1,2,3,8,59,7,23,12,50,20,0,12,3,29,14,1,3,7,17,39,5,14,5,35,31,3,15,5,33,NA,Hiopos Lleida,https://static.acb.com/img/www/clubes2024/2425HioposLleida_positivo.png,#AB1254,https://www.acb.com/club/plantilla/id/658,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png,NA,NA,NA,NA
HIO,Todos,Todas Local,Jor. NA,5,1,2,4,7,56,6,20,14,44,22,0,15,2,32,15,0,4,8,20,38,5,14,4,31,31,4,16,6,34,NA,Hiopos Lleida,https://static.acb.com/img/www/clubes2024/2425HioposLleida_positivo.png,#AB1254,https://www.acb.com/club/plantilla/id/658,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png,NA,NA,NA,NA
HIO,Todos,Todas  Visitante,Jor. NA,10,2,0,3,11,65,7,30,8,61,16,0,5,4,24,11,3,3,4,11,43,5,16,8,44,32,0,13,4,32,NA,Hiopos Lleida,https://static.acb.com/img/www/clubes2024/2425HioposLleida_positivo.png,#AB1254,https://www.acb.com/club/plantilla/id/658,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png,NA,NA,NA,NA
HIO,BRE,Local,Jor. 1,7,1,5,5,12,55,7,25,21,61,25,0,17,1,37,7,0,3,8,10,38,7,8,1,21,23,1,17,8,25,104462,Hiopos Lleida,https://static.acb.com/img/www/clubes2024/2425HioposLleida_positivo.png,#AB1254,https://www.acb.com/club/plantilla/id/658,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png,Río Breogán,https://static.acb.com/logos/1718/breogan_00.png,#85ADEA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png
HIO,BAR,Visitante,Jor. 2,10,2,0,3,11,65,7,30,8,61,16,0,5,4,24,11,3,3,4,11,43,5,16,8,44,32,0,13,4,32,104473,Hiopos Lleida,https://static.acb.com/img/www/clubes2024/2425HioposLleida_positivo.png,#AB1254,https://www.acb.com/club/plantilla/id/658,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png,Barça,https://static.acb.com/img/www/clubes2024/2324BarcaLogoweb.png,#154284,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png
HIO,VBC,Local,Jor. 3,3,1,0,2,2,56,6,15,8,27,19,0,13,3,27,23,1,4,8,29,37,3,19,6,41,39,8,15,3,43,104483,Hiopos Lleida,https://static.acb.com/img/www/clubes2024/2425HioposLleida_positivo.png,#AB1254,https://www.acb.com/club/plantilla/id/658,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png,Valencia Basket,https://static.acb.com/img/23/2/25/1654748673.png,#FC6C0F,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/VBC.png
JOV,Todos,Todas,Jor. NA,24,3,5,10,29,28,3,9,7,29,39,1,20,5,47,18,1,3,6,18,33,5,13,8,29,25,1,17,2,27,NA,Joventut Badalona,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,https://www.acb.com/club/plantilla/id/8,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/JOV.png,NA,NA,NA,NA
JOV,Todos,Todas Local,Jor. NA,24,3,5,11,27,32,4,10,8,34,37,2,18,6,45,18,2,4,8,25,37,6,16,8,37,22,1,14,2,18,NA,Joventut Badalona,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,https://www.acb.com/club/plantilla/id/8,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/JOV.png,NA,NA,NA,NA
JOV,Todos,Todas  Visitante,Jor. NA,23,2,4,8,33,21,1,7,5,19,43,1,25,5,51,18,0,1,2,5,25,4,7,9,13,32,0,23,1,47,NA,Joventut Badalona,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,https://www.acb.com/club/plantilla/id/8,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/JOV.png,NA,NA,NA,NA
JOV,COV,Visitante,Jor. 1,23,2,4,8,33,21,1,7,5,19,43,1,25,5,51,18,0,1,2,5,25,4,7,9,13,32,0,23,1,47,104463,Joventut Badalona,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,https://www.acb.com/club/plantilla/id/8,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/JOV.png,Coviran Granada,https://static.acb.com/img/www/clubes2024/2425CoviranGranadapositivo.png,#C2213C,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png
JOV,CAZ,Local,Jor. 2,31,4,2,9,21,29,3,9,5,30,29,0,23,4,40,20,1,2,9,23,43,7,21,6,55,23,1,14,4,19,104472,Joventut Badalona,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,https://www.acb.com/club/plantilla/id/8,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/JOV.png,Casademont Zaragoza,https://static.acb.com/img/www/clubes2024/2425CasademontZaragoza.png,#C8102E,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/CAZ.png
JOV,SBB,Local,Jor. 3,18,2,8,13,33,35,6,12,10,39,45,3,13,7,50,17,2,5,7,27,31,5,11,10,19,21,1,13,1,16,104481,Joventut Badalona,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,https://www.acb.com/club/plantilla/id/8,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/JOV.png,Surne Bilbao Basket,https://static.acb.com/img/www/clubes2022/logo_surnebb_pos.png,#000000,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/SBB.png
LLT,Todos,Todas,Jor. NA,23,4,4,7,23,38,5,11,8,48,54,4,18,8,71,23,2,4,7,19,26,3,10,4,18,30,2,14,3,31,NA,La Laguna Tenerife,https://static.acb.com/img/www/clubes2024/2425LaLagunaTenerifeLogo.png,#E9CD5F,https://www.acb.com/club/plantilla/id/28,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/LLT.png,NA,NA,NA,NA
LLT,Todos,Todas Local,Jor. NA,28,4,4,6,26,36,5,12,6,46,52,4,18,10,66,26,2,6,8,25,30,2,10,4,25,30,2,9,4,30,NA,La Laguna Tenerife,https://static.acb.com/img/www/clubes2024/2425LaLagunaTenerifeLogo.png,#E9CD5F,https://www.acb.com/club/plantilla/id/28,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/LLT.png,NA,NA,NA,NA
LLT,Todos,Todas  Visitante,Jor. NA,15,4,3,8,19,43,6,10,11,52,57,5,19,5,80,15,2,2,6,8,19,5,10,3,5,30,1,25,0,32,NA,La Laguna Tenerife,https://static.acb.com/img/www/clubes2024/2425LaLagunaTenerifeLogo.png,#E9CD5F,https://www.acb.com/club/plantilla/id/28,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/LLT.png,NA,NA,NA,NA
LLT,BAX,Local,Jor. 1,31,5,6,5,28,34,4,9,6,43,57,4,22,10,73,22,0,8,14,25,32,4,10,3,29,39,3,8,6,34,104461,La Laguna Tenerife,https://static.acb.com/img/www/clubes2024/2425LaLagunaTenerifeLogo.png,#E9CD5F,https://www.acb.com/club/plantilla/id/28,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/LLT.png,BAXI Manresa,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png
LLT,MBA,Visitante,Jor. 2,15,4,3,8,19,43,6,10,11,52,57,5,19,5,80,15,2,2,6,8,19,5,10,3,5,30,1,25,0,32,104469,La Laguna Tenerife,https://static.acb.com/img/www/clubes2024/2425LaLagunaTenerifeLogo.png,#E9CD5F,https://www.acb.com/club/plantilla/id/28,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/LLT.png,MoraBanc Andorra,https://static.acb.com/img/43/43/28/75593.png,#0165BA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/MBA.png
LLT,UCM,Local,Jor. 3,24,2,2,8,23,38,6,14,6,49,47,3,14,10,59,31,3,3,1,25,28,0,11,6,21,21,1,10,2,27,104478,La Laguna Tenerife,https://static.acb.com/img/www/clubes2024/2425LaLagunaTenerifeLogo.png,#E9CD5F,https://www.acb.com/club/plantilla/id/28,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/LLT.png,UCAM Murcia,https://static.acb.com/img/www/clubes2024/2425UCAMMurciapositivo.png,#A51A14,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UCM.png
MBA,Todos,Todas,Jor. NA,20,2,4,9,19,28,7,10,6,24,33,2,19,2,35,26,5,6,12,24,43,6,15,10,51,39,3,17,5,52,NA,MoraBanc Andorra,https://static.acb.com/img/43/43/28/75593.png,#0165BA,https://www.acb.com/club/plantilla/id/22,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/MBA.png,NA,NA,NA,NA
MBA,Todos,Todas Local,Jor. NA,23,2,3,8,20,30,8,12,8,24,36,2,24,2,43,30,6,6,12,27,39,5,14,10,46,45,3,18,4,59,NA,MoraBanc Andorra,https://static.acb.com/img/43/43/28/75593.png,#0165BA,https://www.acb.com/club/plantilla/id/22,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/MBA.png,NA,NA,NA,NA
MBA,Todos,Todas  Visitante,Jor. NA,14,0,6,12,16,24,5,6,2,25,26,0,11,2,18,17,5,6,11,17,52,7,18,12,61,26,2,15,7,37,NA,MoraBanc Andorra,https://static.acb.com/img/43/43/28/75593.png,#0165BA,https://www.acb.com/club/plantilla/id/22,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/MBA.png,NA,NA,NA,NA
MBA,UCM,Visitante,Jor. 1,14,0,6,12,16,24,5,6,2,25,26,0,11,2,18,17,5,6,11,17,52,7,18,12,61,26,2,15,7,37,104466,MoraBanc Andorra,https://static.acb.com/img/43/43/28/75593.png,#0165BA,https://www.acb.com/club/plantilla/id/22,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/MBA.png,UCAM Murcia,https://static.acb.com/img/www/clubes2024/2425UCAMMurciapositivo.png,#A51A14,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UCM.png
MBA,LLT,Local,Jor. 2,15,2,2,6,8,19,5,10,3,5,30,1,25,0,32,15,4,3,8,19,43,6,10,11,52,57,5,19,5,80,104469,MoraBanc Andorra,https://static.acb.com/img/43/43/28/75593.png,#0165BA,https://www.acb.com/club/plantilla/id/22,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/MBA.png,La Laguna Tenerife,https://static.acb.com/img/www/clubes2024/2425LaLagunaTenerifeLogo.png,#E9CD5F,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/LLT.png
MBA,GIR,Local,Jor. 3,31,3,4,9,32,42,12,14,13,43,42,4,22,3,54,45,7,8,16,35,35,4,18,8,39,33,1,17,4,38,104480,MoraBanc Andorra,https://static.acb.com/img/43/43/28/75593.png,#0165BA,https://www.acb.com/club/plantilla/id/22,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/MBA.png,Bàsquet Girona,https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logonegativo2223.png,#B32836,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/GIR.png
RMB,Todos,Todas,Jor. NA,15,2,3,8,14,44,6,11,8,42,31,3,16,3,42,22,2,6,7,31,27,3,12,10,28,36,3,11,1,32,NA,Real Madrid,https://static.acb.com/img/www/clubes2024/2324RealMadrid_Logoweb.png,#FFFFFF,https://www.acb.com/club/plantilla/id/9,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/RMB.png,NA,NA,NA,NA
RMB,Todos,Todas Local,Jor. NA,14,2,2,8,10,45,8,12,8,48,26,2,16,4,36,14,2,3,4,14,22,2,15,12,28,40,3,14,1,36,NA,Real Madrid,https://static.acb.com/img/www/clubes2024/2324RealMadrid_Logoweb.png,#FFFFFF,https://www.acb.com/club/plantilla/id/9,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/RMB.png,NA,NA,NA,NA
RMB,Todos,Todas  Visitante,Jor. NA,18,2,4,10,22,42,4,8,7,30,40,4,16,2,53,39,2,13,13,63,38,5,5,5,28,28,2,6,1,25,NA,Real Madrid,https://static.acb.com/img/www/clubes2024/2324RealMadrid_Logoweb.png,#FFFFFF,https://www.acb.com/club/plantilla/id/9,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/RMB.png,NA,NA,NA,NA
